"Label (Grouping)","Androscoggin County, Maine!!Total!!Estimate","Androscoggin County, Maine!!Total!!Margin of Error","Androscoggin County, Maine!!Percent!!Estimate","Androscoggin County, Maine!!Percent!!Margin of Error","Androscoggin County, Maine!!Veterans!!Estimate","Androscoggin County, Maine!!Veterans!!Margin of Error","Androscoggin County, Maine!!Percent Veterans!!Estimate","Androscoggin County, Maine!!Percent Veterans!!Margin of Error","Androscoggin County, Maine!!Nonveterans!!Estimate","Androscoggin County, Maine!!Nonveterans!!Margin of Error","Androscoggin County, Maine!!Percent Nonveterans!!Estimate","Androscoggin County, Maine!!Percent Nonveterans!!Margin of Error","Aroostook County, Maine!!Total!!Estimate","Aroostook County, Maine!!Total!!Margin of Error","Aroostook County, Maine!!Percent!!Estimate","Aroostook County, Maine!!Percent!!Margin of Error","Aroostook County, Maine!!Veterans!!Estimate","Aroostook County, Maine!!Veterans!!Margin of Error","Aroostook County, Maine!!Percent Veterans!!Estimate","Aroostook County, Maine!!Percent Veterans!!Margin of Error","Aroostook County, Maine!!Nonveterans!!Estimate","Aroostook County, Maine!!Nonveterans!!Margin of Error","Aroostook County, Maine!!Percent Nonveterans!!Estimate","Aroostook County, Maine!!Percent Nonveterans!!Margin of Error","Cumberland County, Maine!!Total!!Estimate","Cumberland County, Maine!!Total!!Margin of Error","Cumberland County, Maine!!Percent!!Estimate","Cumberland County, Maine!!Percent!!Margin of Error","Cumberland County, Maine!!Veterans!!Estimate","Cumberland County, Maine!!Veterans!!Margin of Error","Cumberland County, Maine!!Percent Veterans!!Estimate","Cumberland County, Maine!!Percent Veterans!!Margin of Error","Cumberland County, Maine!!Nonveterans!!Estimate","Cumberland County, Maine!!Nonveterans!!Margin of Error","Cumberland County, Maine!!Percent Nonveterans!!Estimate","Cumberland County, Maine!!Percent Nonveterans!!Margin of Error","Kennebec County, Maine!!Total!!Estimate","Kennebec County, Maine!!Total!!Margin of Error","Kennebec County, Maine!!Percent!!Estimate","Kennebec County, Maine!!Percent!!Margin of Error","Kennebec County, Maine!!Veterans!!Estimate","Kennebec County, Maine!!Veterans!!Margin of Error","Kennebec County, Maine!!Percent Veterans!!Estimate","Kennebec County, Maine!!Percent Veterans!!Margin of Error","Kennebec County, Maine!!Nonveterans!!Estimate","Kennebec County, Maine!!Nonveterans!!Margin of Error","Kennebec County, Maine!!Percent Nonveterans!!Estimate","Kennebec County, Maine!!Percent Nonveterans!!Margin of Error","Penobscot County, Maine!!Total!!Estimate","Penobscot County, Maine!!Total!!Margin of Error","Penobscot County, Maine!!Percent!!Estimate","Penobscot County, Maine!!Percent!!Margin of Error","Penobscot County, Maine!!Veterans!!Estimate","Penobscot County, Maine!!Veterans!!Margin of Error","Penobscot County, Maine!!Percent Veterans!!Estimate","Penobscot County, Maine!!Percent Veterans!!Margin of Error","Penobscot County, Maine!!Nonveterans!!Estimate","Penobscot County, Maine!!Nonveterans!!Margin of Error","Penobscot County, Maine!!Percent Nonveterans!!Estimate","Penobscot County, Maine!!Percent Nonveterans!!Margin of Error","York County, Maine!!Total!!Estimate","York County, Maine!!Total!!Margin of Error","York County, Maine!!Percent!!Estimate","York County, Maine!!Percent!!Margin of Error","York County, Maine!!Veterans!!Estimate","York County, Maine!!Veterans!!Margin of Error","York County, Maine!!Percent Veterans!!Estimate","York County, Maine!!Percent Veterans!!Margin of Error","York County, Maine!!Nonveterans!!Estimate","York County, Maine!!Nonveterans!!Margin of Error","York County, Maine!!Percent Nonveterans!!Estimate","York County, Maine!!Percent Nonveterans!!Margin of Error"
"    AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        18 to 34 years","23,867","±611","27.3%","±0.7","565","±352","6.6%","±4.0","23,302","±708","29.5%","±0.9","11,676","±326","21.4%","±0.6","397","±283","7.3%","±4.9","11,279","±390","22.9%","±0.8","65,324","±1,115","26.2%","±0.4","1,407","±735","8.5%","±4.0","63,917","±1,321","27.5%","±0.6","25,697","±696","25.4%","±0.6","589","±329","5.8%","±3.2","25,108","±784","27.6%","±0.9","35,414","±668","28.2%","±0.5","1,025","±707","9.1%","±5.8","34,389","±980","30.1%","±0.8","41,844","±1,030","23.8%","±0.6","1,501","±846","9.6%","±5.1","40,343","±1,370","25.2%","±0.8"
"        35 to 54 years","26,997","±441","30.9%","±0.5","2,115","±866","24.8%","±8.6","24,882","±1,014","31.5%","±1.1","15,492","±346","28.4%","±0.6","985","±397","18.2%","±6.5","14,507","±521","29.5%","±1.0","80,392","±1,152","32.3%","±0.4","3,758","±1,322","22.6%","±6.4","76,634","±1,854","32.9%","±0.6","30,265","±562","29.9%","±0.6","2,877","±843","28.1%","±6.5","27,388","±1,001","30.1%","±0.9","36,992","±677","29.5%","±0.5","2,964","±809","26.2%","±5.5","34,028","±923","29.8%","±0.7","52,883","±925","30.1%","±0.5","2,842","±829","18.1%","±4.8","50,041","±1,119","31.3%","±0.7"
"        55 to 64 years","16,070","±389","18.4%","±0.4","1,791","±648","21.0%","±6.6","14,279","±706","18.1%","±0.8","10,821","±188","19.8%","±0.4","870","±366","16.1%","±6.1","9,951","±428","20.2%","±0.8","43,942","±750","17.6%","±0.3","3,249","±855","19.5%","±4.8","40,693","±1,101","17.5%","±0.5","19,510","±484","19.3%","±0.5","2,363","±770","23.1%","±6.0","17,147","±769","18.9%","±0.7","23,522","±399","18.7%","±0.3","2,376","±587","21.0%","±4.8","21,146","±671","18.5%","±0.5","34,779","±593","19.8%","±0.3","2,693","±910","17.2%","±5.0","32,086","±1,063","20.0%","±0.6"
"        65 to 74 years","12,483","±359","14.3%","±0.4","2,404","±602","28.2%","±7.1","10,079","±611","12.8%","±0.8","9,835","±171","18.0%","±0.3","1,764","±464","32.6%","±7.7","8,071","±451","16.4%","±0.9","36,568","±648","14.7%","±0.3","3,415","±816","20.5%","±5.0","33,153","±983","14.3%","±0.4","15,919","±195","15.7%","±0.2","1,964","±546","19.2%","±4.8","13,955","±582","15.4%","±0.6","18,508","±301","14.7%","±0.2","2,530","±488","22.4%","±3.9","15,978","±534","14.0%","±0.4","28,881","±376","16.4%","±0.2","5,165","±1,117","32.9%","±6.2","23,716","±1,136","14.8%","±0.6"
"        75 years and over","8,013","±278","9.2%","±0.3","1,663","±397","19.5%","±4.7","6,350","±458","8.0%","±0.6","6,796","±68","12.4%","±0.1","1,392","±303","25.7%","±5.3","5,404","±306","11.0%","±0.6","23,002","±358","9.2%","±0.1","4,812","±669","28.9%","±4.0","18,190","±652","7.8%","±0.3","9,698","±151","9.6%","±0.1","2,450","±507","23.9%","±5.1","7,248","±532","8.0%","±0.6","11,096","±177","8.8%","±0.1","2,413","±543","21.3%","±4.6","8,683","±572","7.6%","±0.5","17,385","±158","9.9%","±0.1","3,489","±681","22.2%","±4.5","13,896","±683","8.7%","±0.4"
"    RACE AND HISPANIC OR LATINO ORIGIN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        White alone","79,241","±978","90.6%","±1.1","7,850","±1,210","91.9%","±4.6","71,391","±1,702","90.5%","±1.3","51,252","±283","93.8%","±0.6","5,048","±795","93.3%","±3.5","46,204","±828","93.9%","±0.8","220,075","±2,779","88.3%","±1.1","14,786","±1,865","88.9%","±5.5","205,289","±3,516","88.3%","±1.0","93,603","±1,304","92.6%","±1.3","9,265","±1,279","90.5%","±5.7","84,338","±1,737","92.8%","±1.1","115,568","±1,677","92.1%","±1.3","10,396","±1,451","91.9%","±4.9","105,172","±2,258","92.1%","±1.4","159,707","±2,509","90.9%","±1.4","14,409","±1,900","91.8%","±3.8","145,298","±2,953","90.8%","±1.6"
"        Black or African American alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        American Indian and Alaska Native alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Asian alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Native Hawaiian and Other Pacific Islander alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Some other race alone","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        Two or more races","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","14,518","±2,902","5.8%","±1.2","1,165","±834","7.0%","±4.7","13,353","±2,555","5.7%","±1.1","4,177","±1,672","4.1%","±1.7","693","±534","6.8%","±5.0","3,484","±1,282","3.8%","±1.4","4,965","±1,616","4.0%","±1.3","301","±243","2.7%","±2.1","4,664","±1,538","4.1%","±1.4","9,859","±2,645","5.6%","±1.5","854","±478","5.4%","±3.1","9,005","±2,673","5.6%","±1.7"
"        Hispanic or Latino (of any race)","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"        White alone, not Hispanic or Latino","78,974","±929","90.3%","±1.0","7,850","±1,210","91.9%","±4.6","71,124","±1,663","90.2%","±1.2","50,966","±218","93.3%","±0.5","5,048","±795","93.3%","±3.5","45,918","±788","93.3%","±0.7","218,454","±2,642","87.7%","±1.1","14,786","±1,865","88.9%","±5.5","203,668","±3,362","87.6%","±1.0","93,393","±1,294","92.4%","±1.3","9,217","±1,278","90.0%","±5.9","84,176","±1,746","92.7%","±1.1","115,153","±1,610","91.7%","±1.3","10,396","±1,451","91.9%","±4.9","104,757","±2,177","91.7%","±1.3","159,276","±2,375","90.6%","±1.4","14,341","±1,886","91.4%","±3.8","144,935","±2,852","90.5%","±1.5"
"MEDIAN INCOME IN THE PAST 12 MONTHS (IN 2021 INFLATION-ADJUSTED DOLLARS)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian population 18 years and over with income","34,196","±2,406","(X)","(X)","41,751","±4,530","(X)","(X)","32,936","±2,291","(X)","(X)","30,383","±1,515","(X)","(X)","40,431","±4,313","(X)","(X)","28,788","±2,213","(X)","(X)","43,917","±1,676","(X)","(X)","44,563","±3,296","(X)","(X)","43,836","±1,744","(X)","(X)","33,643","±2,772","(X)","(X)","44,902","±5,648","(X)","(X)","32,555","±2,684","(X)","(X)","31,570","±1,294","(X)","(X)","40,711","±6,086","(X)","(X)","30,828","±1,431","(X)","(X)","39,270","±1,438","(X)","(X)","53,083","±5,842","(X)","(X)","38,335","±1,513","(X)","(X)"
"        Male","(X)","(X)","(X)","(X)","42,562","±4,308","(X)","(X)","39,826","±3,011","(X)","(X)","(X)","(X)","(X)","(X)","39,775","±3,655","(X)","(X)","36,491","±2,973","(X)","(X)","(X)","(X)","(X)","(X)","45,087","±5,597","(X)","(X)","51,325","±1,431","(X)","(X)","(X)","(X)","(X)","(X)","44,445","±5,851","(X)","(X)","38,392","±3,826","(X)","(X)","(X)","(X)","(X)","(X)","43,967","±7,139","(X)","(X)","36,261","±2,481","(X)","(X)","(X)","(X)","(X)","(X)","53,628","±5,787","(X)","(X)","49,572","±3,323","(X)","(X)"
"        Female","(X)","(X)","(X)","(X)","35,495","±18,108","(X)","(X)","30,024","±2,357","(X)","(X)","(X)","(X)","(X)","(X)","47,247","±69,284","(X)","(X)","23,228","±2,279","(X)","(X)","(X)","(X)","(X)","(X)","44,152","±10,469","(X)","(X)","39,453","±1,812","(X)","(X)","(X)","(X)","(X)","(X)","57,772","±35,429","(X)","(X)","27,452","±2,429","(X)","(X)","(X)","(X)","(X)","(X)","37,528","±21,612","(X)","(X)","26,568","±1,605","(X)","(X)","(X)","(X)","(X)","(X)","50,814","±27,757","(X)","(X)","32,119","±1,697","(X)","(X)"
"EDUCATIONAL ATTAINMENT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian population 25 years and over","77,623","±582","(X)","(X)","8,469","±1,225","(X)","(X)","69,154","±1,338","(X)","(X)","49,740","±353","(X)","(X)","5,381","±815","(X)","(X)","44,359","±834","(X)","(X)","224,294","±1,055","(X)","(X)","16,450","±2,068","(X)","(X)","207,844","±2,373","(X)","(X)","90,105","±500","(X)","(X)","10,112","±1,456","(X)","(X)","79,993","±1,436","(X)","(X)","109,431","±503","(X)","(X)","11,229","±1,551","(X)","(X)","98,202","±1,642","(X)","(X)","160,566","±570","(X)","(X)","15,607","±1,846","(X)","(X)","144,959","±1,826","(X)","(X)"
"        Less than high school graduate","5,601","±1,269","7.2%","±1.6","395","±317","4.7%","±3.8","5,206","±1,228","7.5%","±1.8","4,808","±850","9.7%","±1.7","240","±155","4.5%","±2.9","4,568","±805","10.3%","±1.8","7,871","±1,790","3.5%","±0.8","680","±423","4.1%","±2.5","7,191","±1,694","3.5%","±0.8","5,670","±1,325","6.3%","±1.5","470","±471","4.6%","±4.5","5,200","±1,275","6.5%","±1.6","4,439","±1,042","4.1%","±1.0","288","±222","2.6%","±2.0","4,151","±964","4.2%","±1.0","7,520","±1,599","4.7%","±1.0","587","±320","3.8%","±2.0","6,933","±1,559","4.8%","±1.1"
"        High school graduate (includes equivalency)","27,564","±2,617","35.5%","±3.4","3,861","±1,015","45.6%","±9.3","23,703","±2,533","34.3%","±3.7","17,698","±1,562","35.6%","±3.1","1,661","±410","30.9%","±7.6","16,037","±1,530","36.2%","±3.3","41,488","±3,373","18.5%","±1.5","2,973","±774","18.1%","±4.8","38,515","±3,350","18.5%","±1.6","31,566","±2,489","35.0%","±2.7","3,785","±974","37.4%","±7.9","27,781","±2,386","34.7%","±2.8","34,957","±2,309","31.9%","±2.1","3,104","±808","27.6%","±6.2","31,853","±2,327","32.4%","±2.2","47,951","±3,953","29.9%","±2.5","5,109","±1,230","32.7%","±7.0","42,842","±3,761","29.6%","±2.5"
"        Some college or associate's degree","25,249","±2,319","32.5%","±3.0","2,936","±813","34.7%","±8.8","22,313","±2,250","32.3%","±3.2","16,103","±1,428","32.4%","±2.8","2,209","±591","41.1%","±8.5","13,894","±1,237","31.3%","±2.8","58,151","±4,490","25.9%","±2.0","7,386","±1,878","44.9%","±7.9","50,765","±3,810","24.4%","±1.9","24,752","±2,451","27.5%","±2.7","3,616","±937","35.8%","±8.1","21,136","±2,312","26.4%","±2.9","35,758","±2,561","32.7%","±2.3","4,622","±1,114","41.2%","±6.9","31,136","±2,307","31.7%","±2.4","48,449","±3,415","30.2%","±2.1","4,847","±1,237","31.1%","±6.8","43,602","±3,348","30.1%","±2.3"
"        Bachelor's degree or higher","19,209","±2,445","24.7%","±3.1","1,277","±554","15.1%","±6.0","17,932","±2,358","25.9%","±3.3","11,131","±1,408","22.4%","±2.9","1,271","±486","23.6%","±7.6","9,860","±1,399","22.2%","±3.1","116,784","±4,548","52.1%","±2.0","5,411","±1,017","32.9%","±5.9","111,373","±4,635","53.6%","±2.1","28,117","±2,767","31.2%","±3.1","2,241","±782","22.2%","±7.5","25,876","±2,613","32.3%","±3.3","34,277","±2,710","31.3%","±2.5","3,215","±928","28.6%","±7.9","31,062","±2,501","31.6%","±2.5","56,646","±3,561","35.3%","±2.2","5,064","±1,140","32.4%","±6.2","51,582","±3,377","35.6%","±2.3"
"EMPLOYMENT STATUS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Civilian population 18 to 64 years","66,934","±525","(X)","(X)","4,471","±1,171","(X)","(X)","62,463","±1,363","(X)","(X)","37,989","±241","(X)","(X)","2,252","±632","(X)","(X)","35,737","±681","(X)","(X)","189,658","±857","(X)","(X)","8,414","±1,885","(X)","(X)","181,244","±2,057","(X)","(X)","75,472","±476","(X)","(X)","5,829","±1,223","(X)","(X)","69,643","±1,205","(X)","(X)","95,928","±365","(X)","(X)","6,365","±1,258","(X)","(X)","89,563","±1,326","(X)","(X)","129,506","±416","(X)","(X)","7,036","±1,506","(X)","(X)","122,470","±1,565","(X)","(X)"
"        Labor force participation rate","(X)","(X)","78.1%","±2.6","(X)","(X)","79.4%","±11.1","(X)","(X)","78.0%","±2.7","(X)","(X)","74.3%","±3.1","(X)","(X)","72.3%","±12.4","(X)","(X)","74.4%","±3.2","(X)","(X)","82.9%","±1.4","(X)","(X)","71.0%","±8.2","(X)","(X)","83.5%","±1.4","(X)","(X)","73.9%","±2.9","(X)","(X)","70.6%","±10.9","(X)","(X)","74.2%","±3.0","(X)","(X)","75.7%","±2.4","(X)","(X)","69.0%","±12.5","(X)","(X)","76.2%","±2.5","(X)","(X)","81.1%","±1.9","(X)","(X)","81.1%","±9.3","(X)","(X)","81.1%","±1.8"
"    Civilian labor force 18 to 64 years","52,281","±1,816","(X)","(X)","3,552","±1,072","(X)","(X)","48,729","±1,850","(X)","(X)","28,229","±1,178","(X)","(X)","1,628","±506","(X)","(X)","26,601","±1,146","(X)","(X)","157,255","±2,632","(X)","(X)","5,976","±1,404","(X)","(X)","151,279","±2,957","(X)","(X)","55,777","±2,205","(X)","(X)","4,115","±1,070","(X)","(X)","51,662","±2,111","(X)","(X)","72,638","±2,318","(X)","(X)","4,390","±1,070","(X)","(X)","68,248","±2,633","(X)","(X)","104,997","±2,394","(X)","(X)","5,706","±1,436","(X)","(X)","99,291","±2,485","(X)","(X)"
