"Label (Grouping)","Androscoggin County, Maine!!Total!!Estimate","Androscoggin County, Maine!!Total!!Margin of Error","Androscoggin County, Maine!!Native!!Estimate","Androscoggin County, Maine!!Native!!Margin of Error","Androscoggin County, Maine!!Foreign born!!Estimate","Androscoggin County, Maine!!Foreign born!!Margin of Error","Androscoggin County, Maine!!Foreign born; Naturalized citizen!!Estimate","Androscoggin County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Androscoggin County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Androscoggin County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Aroostook County, Maine!!Total!!Estimate","Aroostook County, Maine!!Total!!Margin of Error","Aroostook County, Maine!!Native!!Estimate","Aroostook County, Maine!!Native!!Margin of Error","Aroostook County, Maine!!Foreign born!!Estimate","Aroostook County, Maine!!Foreign born!!Margin of Error","Aroostook County, Maine!!Foreign born; Naturalized citizen!!Estimate","Aroostook County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Aroostook County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Aroostook County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Cumberland County, Maine!!Total!!Estimate","Cumberland County, Maine!!Total!!Margin of Error","Cumberland County, Maine!!Native!!Estimate","Cumberland County, Maine!!Native!!Margin of Error","Cumberland County, Maine!!Foreign born!!Estimate","Cumberland County, Maine!!Foreign born!!Margin of Error","Cumberland County, Maine!!Foreign born; Naturalized citizen!!Estimate","Cumberland County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Cumberland County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Cumberland County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Franklin County, Maine!!Total!!Estimate","Franklin County, Maine!!Total!!Margin of Error","Franklin County, Maine!!Native!!Estimate","Franklin County, Maine!!Native!!Margin of Error","Franklin County, Maine!!Foreign born!!Estimate","Franklin County, Maine!!Foreign born!!Margin of Error","Franklin County, Maine!!Foreign born; Naturalized citizen!!Estimate","Franklin County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Franklin County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Franklin County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Hancock County, Maine!!Total!!Estimate","Hancock County, Maine!!Total!!Margin of Error","Hancock County, Maine!!Native!!Estimate","Hancock County, Maine!!Native!!Margin of Error","Hancock County, Maine!!Foreign born!!Estimate","Hancock County, Maine!!Foreign born!!Margin of Error","Hancock County, Maine!!Foreign born; Naturalized citizen!!Estimate","Hancock County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Hancock County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Hancock County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Kennebec County, Maine!!Total!!Estimate","Kennebec County, Maine!!Total!!Margin of Error","Kennebec County, Maine!!Native!!Estimate","Kennebec County, Maine!!Native!!Margin of Error","Kennebec County, Maine!!Foreign born!!Estimate","Kennebec County, Maine!!Foreign born!!Margin of Error","Kennebec County, Maine!!Foreign born; Naturalized citizen!!Estimate","Kennebec County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Kennebec County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Kennebec County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Knox County, Maine!!Total!!Estimate","Knox County, Maine!!Total!!Margin of Error","Knox County, Maine!!Native!!Estimate","Knox County, Maine!!Native!!Margin of Error","Knox County, Maine!!Foreign born!!Estimate","Knox County, Maine!!Foreign born!!Margin of Error","Knox County, Maine!!Foreign born; Naturalized citizen!!Estimate","Knox County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Knox County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Knox County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Lincoln County, Maine!!Total!!Estimate","Lincoln County, Maine!!Total!!Margin of Error","Lincoln County, Maine!!Native!!Estimate","Lincoln County, Maine!!Native!!Margin of Error","Lincoln County, Maine!!Foreign born!!Estimate","Lincoln County, Maine!!Foreign born!!Margin of Error","Lincoln County, Maine!!Foreign born; Naturalized citizen!!Estimate","Lincoln County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Lincoln County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Lincoln County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Oxford County, Maine!!Total!!Estimate","Oxford County, Maine!!Total!!Margin of Error","Oxford County, Maine!!Native!!Estimate","Oxford County, Maine!!Native!!Margin of Error","Oxford County, Maine!!Foreign born!!Estimate","Oxford County, Maine!!Foreign born!!Margin of Error","Oxford County, Maine!!Foreign born; Naturalized citizen!!Estimate","Oxford County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Oxford County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Oxford County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Penobscot County, Maine!!Total!!Estimate","Penobscot County, Maine!!Total!!Margin of Error","Penobscot County, Maine!!Native!!Estimate","Penobscot County, Maine!!Native!!Margin of Error","Penobscot County, Maine!!Foreign born!!Estimate","Penobscot County, Maine!!Foreign born!!Margin of Error","Penobscot County, Maine!!Foreign born; Naturalized citizen!!Estimate","Penobscot County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Penobscot County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Penobscot County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Piscataquis County, Maine!!Total!!Estimate","Piscataquis County, Maine!!Total!!Margin of Error","Piscataquis County, Maine!!Native!!Estimate","Piscataquis County, Maine!!Native!!Margin of Error","Piscataquis County, Maine!!Foreign born!!Estimate","Piscataquis County, Maine!!Foreign born!!Margin of Error","Piscataquis County, Maine!!Foreign born; Naturalized citizen!!Estimate","Piscataquis County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Piscataquis County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Piscataquis County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Sagadahoc County, Maine!!Total!!Estimate","Sagadahoc County, Maine!!Total!!Margin of Error","Sagadahoc County, Maine!!Native!!Estimate","Sagadahoc County, Maine!!Native!!Margin of Error","Sagadahoc County, Maine!!Foreign born!!Estimate","Sagadahoc County, Maine!!Foreign born!!Margin of Error","Sagadahoc County, Maine!!Foreign born; Naturalized citizen!!Estimate","Sagadahoc County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Sagadahoc County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Sagadahoc County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Somerset County, Maine!!Total!!Estimate","Somerset County, Maine!!Total!!Margin of Error","Somerset County, Maine!!Native!!Estimate","Somerset County, Maine!!Native!!Margin of Error","Somerset County, Maine!!Foreign born!!Estimate","Somerset County, Maine!!Foreign born!!Margin of Error","Somerset County, Maine!!Foreign born; Naturalized citizen!!Estimate","Somerset County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Somerset County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Somerset County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Waldo County, Maine!!Total!!Estimate","Waldo County, Maine!!Total!!Margin of Error","Waldo County, Maine!!Native!!Estimate","Waldo County, Maine!!Native!!Margin of Error","Waldo County, Maine!!Foreign born!!Estimate","Waldo County, Maine!!Foreign born!!Margin of Error","Waldo County, Maine!!Foreign born; Naturalized citizen!!Estimate","Waldo County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Waldo County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Waldo County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","Washington County, Maine!!Total!!Estimate","Washington County, Maine!!Total!!Margin of Error","Washington County, Maine!!Native!!Estimate","Washington County, Maine!!Native!!Margin of Error","Washington County, Maine!!Foreign born!!Estimate","Washington County, Maine!!Foreign born!!Margin of Error","Washington County, Maine!!Foreign born; Naturalized citizen!!Estimate","Washington County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","Washington County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","Washington County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error","York County, Maine!!Total!!Estimate","York County, Maine!!Total!!Margin of Error","York County, Maine!!Native!!Estimate","York County, Maine!!Native!!Margin of Error","York County, Maine!!Foreign born!!Estimate","York County, Maine!!Foreign born!!Margin of Error","York County, Maine!!Foreign born; Naturalized citizen!!Estimate","York County, Maine!!Foreign born; Naturalized citizen!!Margin of Error","York County, Maine!!Foreign born; Not a U.S. citizen!!Estimate","York County, Maine!!Foreign born; Not a U.S. citizen!!Margin of Error"
"                Employed","","","","","","","","","","","","","","","","","","","","","66.6%","±0.6","66.6%","±0.6","66.1%","±3.8","65.5%","±3.8","66.8%","±6.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.0%","±0.8","63.9%","±0.9","67.0%","±5.1","61.9%","±6.7","74.4%","±6.7"
"                Unemployed","","","","","","","","","","","","","","","","","","","","","2.2%","±0.3","2.2%","±0.3","1.9%","±0.9","2.0%","±1.2","1.8%","±1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3%","±0.3","2.3%","±0.3","1.6%","±0.9","1.3%","±1.0","2.1%","±1.9"
"                    Percent of civilian labor force","","","","","","","","","","","","","","","","","","","","","3.2%","±0.4","3.2%","±0.4","2.9%","±1.4","3.0%","±1.8","2.7%","±2.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.5%","±0.5","3.5%","±0.5","2.4%","±1.3","2.1%","±1.5","2.7%","±2.5"
"            Armed Forces","","","","","","","","","","","","","","","","","","","","","0.2%","±0.1","0.2%","±0.1","0.4%","±0.6","0.7%","±1.1","0.0%","±0.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4%","±0.1","0.4%","±0.1","0.0%","±0.1","0.1%","±0.2","0.0%","±1.0"
"        Not in labor force","","","","","","","","","","","","","","","","","","","","","31.0%","±0.5","30.9%","±0.5","31.6%","±3.4","31.7%","±3.4","31.3%","±6.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.3%","±0.8","33.4%","±0.8","31.3%","±5.1","36.7%","±6.6","23.5%","±6.5"
"Civilian employed population 16 years and over","","","","","","","","","","","","","","","","","","","","","164,003","±1,480","153,320","±1,543","10,683","±865","5,951","±583","4,732","±731","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","110,066","±1,454","105,427","±1,583","4,639","±537","2,531","±459","2,108","±479"
"    CLASS OF WORKER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Private wage and salary workers","","","","","","","","","","","","","","","","","","","","","82.1%","±0.8","81.6%","±0.8","88.2%","±2.8","85.4%","±3.5","91.7%","±3.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77.9%","±1.1","77.7%","±1.2","82.2%","±6.6","74.2%","±9.3","91.7%","±4.3"
"        Government workers","","","","","","","","","","","","","","","","","","","","","10.4%","±0.6","10.7%","±0.6","5.6%","±2.2","6.8%","±2.5","4.1%","±2.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.2%","±1.0","14.5%","±1.1","8.8%","±3.5","14.2%","±5.9","2.4%","±1.9"
"        Self-employed workers in own not incorporated business","","","","","","","","","","","","","","","","","","","","","7.4%","±0.6","7.5%","±0.6","6.2%","±1.6","7.7%","±2.8","4.2%","±2.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.7%","±0.8","7.7%","±0.7","8.9%","±5.3","11.5%","±8.1","5.9%","±3.6"
"        Unpaid family workers","","","","","","","","","","","","","","","","","","","","","0.1%","±0.1","0.1%","±0.1","0.0%","±0.3","0.0%","±0.5","0.0%","±0.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2%","±0.1","0.2%","±0.1","0.1%","±0.2","0.1%","±0.3","0.0%","±1.3"
"    OCCUPATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Management, business, science, and arts occupations","","","","","","","","","","","","","","","","","","","","","47.7%","±1.1","48.2%","±1.2","39.6%","±4.3","38.9%","±5.2","40.6%","±7.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.3%","±1.2","38.0%","±1.3","43.7%","±5.7","43.3%","±7.7","44.1%","±10.7"
"        Service occupations","","","","","","","","","","","","","","","","","","","","","15.8%","±0.9","15.0%","±0.8","27.4%","±4.2","26.3%","±5.1","28.7%","±6.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.8%","±0.9","16.9%","±0.9","14.4%","±4.6","14.9%","±6.4","13.7%","±7.2"
"        Sales and office occupations","","","","","","","","","","","","","","","","","","","","","20.9%","±0.8","21.2%","±0.8","16.1%","±2.5","15.2%","±3.7","17.2%","±3.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.8%","±1.0","21.1%","±1.0","14.4%","±3.4","19.7%","±5.1","8.0%","±4.9"
"        Natural resources, construction, and maintenance occupations","","","","","","","","","","","","","","","","","","","","","6.7%","±0.4","6.9%","±0.4","2.8%","±1.2","3.8%","±2.0","1.4%","±1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.2%","±0.9","10.3%","±0.9","8.3%","±3.0","9.1%","±3.8","7.4%","±4.9"
"        Production, transportation, and material moving occupations","","","","","","","","","","","","","","","","","","","","","9.0%","±0.7","8.6%","±0.7","14.1%","±3.6","15.8%","±4.9","12.1%","±4.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.9%","±0.9","13.7%","±0.9","19.2%","±5.1","12.9%","±5.9","26.8%","±9.8"
"    INDUSTRY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Agriculture, forestry, fishing and hunting, and mining","","","","","","","","","","","","","","","","","","","","","1.0%","±0.2","1.0%","±0.2","0.6%","±0.5","0.3%","±0.4","1.0%","±0.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.9%","±0.3","0.9%","±0.3","0.9%","±1.1","1.0%","±1.1","0.8%","±1.2"
"        Construction","","","","","","","","","","","","","","","","","","","","","5.7%","±0.4","5.9%","±0.5","3.2%","±1.6","4.7%","±2.6","1.4%","±1.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.6%","±1.0","7.7%","±1.0","4.4%","±2.7","3.9%","±2.9","4.9%","±3.9"
"        Manufacturing","","","","","","","","","","","","","","","","","","","","","7.3%","±0.5","7.1%","±0.6","10.0%","±2.3","10.9%","±3.2","8.8%","±3.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.8%","±0.9","11.6%","±0.9","14.8%","±4.7","15.1%","±6.2","14.3%","±5.7"
"        Wholesale trade","","","","","","","","","","","","","","","","","","","","","2.2%","±0.3","2.2%","±0.4","2.0%","±1.4","2.4%","±2.3","1.6%","±1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.0%","±0.3","1.9%","±0.3","3.2%","±2.1","0.9%","±0.9","5.9%","±4.6"
"        Retail trade","","","","","","","","","","","","","","","","","","","","","11.6%","±0.7","11.7%","±0.7","9.9%","±2.2","9.9%","±2.9","9.9%","±4.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14.3%","±1.0","14.4%","±1.0","12.6%","±4.7","15.6%","±6.2","9.0%","±4.6"
"        Transportation and warehousing, and utilities","","","","","","","","","","","","","","","","","","","","","3.4%","±0.4","3.3%","±0.4","4.9%","±1.6","5.0%","±2.1","4.8%","±2.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.9%","±0.5","4.0%","±0.5","1.7%","±1.8","1.2%","±1.6","2.2%","±3.6"
"        Information","","","","","","","","","","","","","","","","","","","","","2.3%","±0.3","2.4%","±0.3","1.0%","±0.6","1.0%","±0.9","1.0%","±1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.7%","±0.4","1.7%","±0.4","0.9%","±1.2","0.0%","±1.1","1.9%","±2.6"
"        Finance and insurance, and real estate and rental and leasing","","","","","","","","","","","","","","","","","","","","","9.7%","±0.5","9.9%","±0.6","7.2%","±2.4","7.4%","±3.8","6.9%","±2.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.9%","±0.7","6.8%","±0.7","7.2%","±4.5","5.2%","±2.6","9.6%","±9.7"
"        Professional, scientific, and management, and administrative and waste management services","","","","","","","","","","","","","","","","","","","","","12.6%","±0.6","12.6%","±0.7","11.5%","±2.5","14.0%","±3.3","8.5%","±3.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.8%","±0.8","8.6%","±0.7","12.2%","±5.6","10.5%","±7.2","14.3%","±8.2"
"        Educational services, and health care and social assistance","","","","","","","","","","","","","","","","","","","","","28.0%","±0.9","27.9%","±0.9","29.5%","±3.7","24.2%","±3.9","36.1%","±5.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.7%","±1.0","25.8%","±1.0","23.5%","±6.7","20.2%","±5.3","27.6%","±12.8"
"        Arts, entertainment, and recreation, and accommodation and food services","","","","","","","","","","","","","","","","","","","","","9.3%","±0.7","8.9%","±0.7","14.8%","±3.1","13.0%","±4.8","17.1%","±3.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.4%","±0.7","8.3%","±0.7","10.6%","±4.7","15.6%","±7.9","4.6%","±2.8"
"        Other services (except public administration)","","","","","","","","","","","","","","","","","","","","","4.2%","±0.3","4.3%","±0.3","3.6%","±1.4","4.5%","±2.2","2.4%","±1.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3%","±0.5","4.4%","±0.5","4.0%","±2.9","3.2%","±3.5","4.9%","±4.5"
"        Public administration","","","","","","","","","","","","","","","","","","","","","2.7%","±0.3","2.8%","±0.3","1.6%","±1.2","2.5%","±2.0","0.5%","±0.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.9%","±0.6","3.9%","±0.6","4.1%","±3.0","7.6%","±5.2","0.0%","±1.3"
"EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS) FOR FULL-TIME, YEAR-ROUND WORKERS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Population 16 years and over with earnings","","","","","","","","","","","","","","","","","","","","","112,221","±1,504","104,970","±1,531","7,251","±620","4,223","±507","3,028","±462","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","77,820","±1,355","74,825","±1,356","2,995","±522","1,366","±359","1,629","±465"
"        $1 to $9,999 or loss","","","","","","","","","","","","","","","","","","","","","1.0%","±0.2","1.0%","±0.2","1.1%","±1.0","1.4%","±1.6","0.6%","±1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.4%","±0.4","1.4%","±0.4","0.7%","±1.0","1.0%","±1.2","0.6%","±1.6"
"        $10,000 to $14,999","","","","","","","","","","","","","","","","","","","","","1.7%","±0.4","1.6%","±0.4","2.9%","±1.9","3.5%","±2.4","1.9%","±2.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.2%","±0.5","2.2%","±0.6","1.5%","±1.6","0.4%","±1.0","2.5%","±3.0"
"        $15,000 to $24,999","","","","","","","","","","","","","","","","","","","","","7.0%","±0.9","6.7%","±0.9","11.4%","±3.8","8.6%","±4.2","15.3%","±6.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.3%","±0.8","7.2%","±0.8","10.5%","±5.7","1.2%","±1.6","18.2%","±9.0"
"        $25,000 to $34,999","","","","","","","","","","","","","","","","","","","","","12.6%","±0.8","12.0%","±0.7","21.3%","±4.0","17.0%","±5.9","27.3%","±6.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3%","±1.2","15.2%","±1.2","17.9%","±5.7","22.1%","±8.7","14.4%","±7.8"
"        $35,000 to $49,999","","","","","","","","","","","","","","","","","","","","","21.2%","±0.9","21.7%","±1.0","14.8%","±4.1","11.8%","±4.4","18.9%","±6.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.7%","±1.3","22.9%","±1.2","19.8%","±6.0","20.1%","±9.6","19.5%","±9.4"
"        $50,000 to $74,999","","","","","","","","","","","","","","","","","","","","","26.1%","±1.1","26.4%","±1.1","21.4%","±4.2","23.8%","±5.8","18.0%","±6.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.2%","±1.4","27.5%","±1.5","19.3%","±6.4","23.9%","±7.7","15.5%","±10.3"
